hogar,id,sexo,edad,etnia,sector,area,educacion,ingreso
379,3,Masc,28,No indígena,Informal,Urbana,5,29020
379,4,Masc,23,No indígena,Informal,Urbana,2,0
379,5,Masc,21,No indígena,Informal,Urbana,2,6000
386,1,Masc,60,No indígena,Informal,Urbana,5,0
386,3,Masc,31,No indígena,Informal,Urbana,5,7500
387,1,Masc,54,No indígena,Informal,Urbana,5,0
387,2,Fem,53,No indígena,Informal,Urbana,5,0
387,3,Masc,29,No indígena,Formal,Urbana,5,22700
387,4,Fem,26,No indígena,Formal,Urbana,2,17500
388,2,Masc,37,No indígena,Informal,Urbana,5,0
390,1,Masc,27,No indígena,Formal,Urbana,4,7500
390,2,Fem,27,No indígena,Formal,Urbana,5,8500
391,1,Masc,44,No indígena,Formal,Urbana,6,12400
391,2,Fem,48,No indígena,Informal,Urbana,6,1200
362,1,Masc,24,No indígena,Formal,Urbana,5,9600
364,1,Masc,63,No indígena,Informal,Urbana,4,2500
364,2,Masc,33,No indígena,Formal,Urbana,6,9000
365,1,Masc,38,No indígena,Formal,Urbana,6,12000
366,1,Fem,39,No indígena,Formal,Urbana,5,16000
380,1,Masc,32,No indígena,Formal,Urbana,2,11400
380,2,Fem,32,No indígena,Informal,Urbana,6,0
381,1,Fem,77,No indígena,Formal,Urbana,6,0
381,2,Fem,49,No indígena,Formal,Urbana,6,24000
381,3,Masc,46,No indígena,Formal,Urbana,2,48000
382,1,Masc,71,No indígena,Informal,Urbana,5,0
383,1,Fem,72,No indígena,Informal,Urbana,3,0
384,1,Masc,24,Indígena,Formal,Urbana,3,9000
385,1,Masc,55,Indígena,Formal,Urbana,5,45000
385,2,Fem,53,Indígena,Formal,Urbana,5,48000
385,3,Masc,30,Indígena,Formal,Urbana,5,36000
385,4,Masc,28,Indígena,Formal,Urbana,5,30000
385,5,Fem,24,Indígena,Formal,Urbana,5,33000
392,1,Masc,50,Indígena,Informal,Urbana,3,0
392,2,Fem,48,Indígena,Informal,Urbana,3,0
392,4,Fem,29,Indígena,Informal,Urbana,3,0
393,1,Masc,48,No indígena,Informal,Urbana,5,0
393,2,Fem,45,No indígena,Informal,Urbana,6,0
393,5,Fem,19,No indígena,Formal,Urbana,1,12450
394,1,Masc,32,No indígena,Formal,Urbana,6,12000
395,1,Masc,63,No indígena,Informal,Urbana,6,8250
395,2,Fem,21,No indígena,Informal,Urbana,2,9000
396,1,Fem,34,No indígena,Formal,Urbana,2,30000
397,1,Masc,35,No indígena,Informal,Urbana,2,0
798,1,Fem,39,No indígena,Informal,Urbana,5,1800
815,2,Fem,33,No indígena,Formal,Urbana,6,11400
816,1,Fem,45,No indígena,Informal,Urbana,5,21000
818,1,Fem,45,No indígena,Informal,Urbana,6,0
819,4,Fem,30,No indígena,Formal,Urbana,6,8700
819,5,Fem,25,No indígena,Formal,Urbana,6,9300
822,1,Masc,55,No indígena,Informal,Urbana,5,3200
823,2,Fem,27,No indígena,Informal,Urbana,5,0
825,1,Masc,67,No indígena,Informal,Urbana,3,0
826,1,Masc,28,No indígena,Informal,Urbana,6,5000
827,2,Fem,65,No indígena,Informal,Urbana,5,0
827,3,Fem,41,No indígena,Informal,Urbana,5,15000
827,4,Fem,17,No indígena,Informal,Urbana,6,10100
827,5,Fem,62,No indígena,Informal,Urbana,2,10100
827,6,Masc,28,No indígena,Informal,Urbana,5,12000
830,1,Masc,50,No indígena,Formal,Urbana,5,12000
830,2,Fem,38,No indígena,Formal,Urbana,5,10500
832,1,Masc,31,No indígena,Formal,Urbana,6,21000
832,2,Masc,65,No indígena,Informal,Urbana,5,8000
834,2,Masc,59,No indígena,Informal,Urbana,5,12000
835,1,Fem,57,No indígena,Informal,Urbana,5,0
985,1,Masc,55,No indígena,Formal,Urbana,3,28800
985,2,Fem,57,No indígena,Formal,Urbana,5,22500
985,3,Masc,25,No indígena,Formal,Urbana,5,18000
985,4,Masc,23,No indígena,Formal,Urbana,4,15000
987,1,Masc,60,No indígena,Formal,Urbana,3,10500
987,3,Masc,27,No indígena,Informal,Urbana,3,3000
987,4,Fem,24,No indígena,Informal,Urbana,6,2000
988,1,Masc,51,No indígena,Informal,Urbana,5,0
988,2,Fem,48,No indígena,Informal,Urbana,5,0
989,1,Masc,47,No indígena,Formal,Urbana,5,12000
989,2,Fem,38,No indígena,Formal,Urbana,6,48759
992,1,Masc,62,No indígena,Formal,Urbana,5,18500
992,3,Fem,53,No indígena,Informal,Urbana,6,3000
992,4,Masc,27,No indígena,Formal,Urbana,5,2997
993,1,Masc,61,No indígena,Formal,Urbana,5,6000
993,2,Fem,57,No indígena,Informal,Urbana,5,0
993,3,Fem,26,No indígena,Informal,Urbana,2,2900
994,1,Masc,40,No indígena,Informal,Urbana,5,0
994,2,Fem,30,No indígena,Informal,Urbana,5,0
995,1,Masc,45,No indígena,Informal,Urbana,5,0
995,5,Masc,37,No indígena,Formal,Urbana,6,8991
5364,2,Fem,37,No indígena,Formal,Urbana,5,10200
5403,1,Masc,28,No indígena,Formal,Urbana,5,16500
5194,1,Masc,35,No indígena,Informal,Urbana,0,0
5195,1,Masc,34,No indígena,Informal,Urbana,0,0
5195,2,Fem,34,No indígena,Informal,Urbana,1,0
5204,1,Masc,32,No indígena,Informal,Urbana,6,3000
5204,2,Fem,31,No indígena,Formal,Urbana,5,9000
5439,1,Masc,59,No indígena,Informal,Urbana,6,2000
5439,3,Masc,31,No indígena,Formal,Urbana,6,26160
5439,4,Fem,29,No indígena,Informal,Urbana,3,1000
5439,5,Masc,30,No indígena,Formal,Urbana,5,9000
5440,1,Masc,49,No indígena,Informal,Urbana,0,0
5440,2,Fem,37,No indígena,Informal,Urbana,0,0
5442,1,Fem,35,No indígena,Informal,Urbana,6,0
5442,2,Masc,21,No indígena,Informal,Urbana,3,1400
5442,3,Fem,19,No indígena,Informal,Urbana,2,1400
5443,1,Masc,62,No indígena,Formal,Urbana,6,9000
5443,3,Fem,42,No indígena,Formal,Urbana,5,9000
5443,4,Fem,27,No indígena,Formal,Urbana,5,9000
5444,1,Masc,45,No indígena,Formal,Urbana,5,9500
5445,1,Masc,52,No indígena,Informal,Urbana,6,0
5445,2,Fem,63,No indígena,Informal,Urbana,6,2000
5445,3,Fem,42,No indígena,Informal,Urbana,6,0
5446,1,Masc,31,No indígena,Informal,Urbana,0,0
5446,2,Fem,34,No indígena,Informal,Urbana,2,0
5447,2,Masc,28,No indígena,Informal,Urbana,3,2000
5447,5,Fem,27,No indígena,Formal,Urbana,5,12900
5447,6,Masc,27,No indígena,Formal,Urbana,6,10500
5448,1,Masc,50,No indígena,Informal,Urbana,3,1500
5448,3,Masc,24,No indígena,Informal,Urbana,6,1500
5449,1,Masc,47,No indígena,Informal,Urbana,2,900
5449,2,Fem,46,No indígena,Informal,Urbana,6,900
5450,1,Masc,56,No indígena,Informal,Urbana,6,0
5450,3,Masc,29,No indígena,Informal,Urbana,5,2700
360,1,Masc,58,No indígena,Informal,Urbana,5,0
361,1,Fem,60,No indígena,Formal,Urbana,5,30200
398,3,Fem,29,No indígena,Informal,Urbana,5,25500
399,3,Masc,32,No indígena,Formal,Urbana,5,21850
400,1,Masc,33,No indígena,Formal,Urbana,6,14250
400,2,Fem,27,No indígena,Formal,Urbana,6,10900
401,3,Masc,33,No indígena,Formal,Urbana,5,15500
402,1,Masc,53,No indígena,Informal,Urbana,6,8240
402,2,Fem,48,No indígena,Formal,Urbana,3,7500
402,3,Fem,29,No indígena,Formal,Urbana,6,17125
402,4,Masc,29,No indígena,Formal,Urbana,3,11550
403,2,Masc,20,No indígena,Informal,Urbana,5,0
403,4,Masc,52,No indígena,Informal,Urbana,5,11950
404,1,Fem,75,No indígena,Formal,Urbana,6,7500
404,2,Fem,23,No indígena,Informal,Urbana,6,5062
405,1,Masc,40,No indígena,Informal,Urbana,4,0
405,2,Fem,41,No indígena,Formal,Urbana,3,22000
406,1,Masc,46,No indígena,Formal,Urbana,5,31600
406,3,Masc,26,No indígena,Informal,Urbana,3,9625
407,1,Fem,59,No indígena,Informal,Urbana,6,0
407,2,Masc,36,No indígena,Informal,Urbana,3,0
407,3,Masc,25,No indígena,Informal,Urbana,2,0
408,1,Masc,41,No indígena,Formal,Urbana,5,40000
409,1,Masc,50,No indígena,Formal,Urbana,5,20000
409,2,Fem,50,No indígena,Informal,Urbana,6,0
410,1,Fem,38,No indígena,Informal,Urbana,5,0
412,1,Fem,45,No indígena,Formal,Urbana,5,14000
412,2,Fem,26,No indígena,Formal,Urbana,5,20000
